variant,status,evidence_role,feature_mode,target_year,target_round,completed_rounds,training_years,features,feature_count,removed_features,eligible_for_primary_claim,comparable_to_primary_pre_counselling,comparable_within_in_round_diagnostic,incomparability_reason,note,forecast_rows,observed_rows,matched_rows,forecast_rows_without_observation,observed_rows_outside_prior_universe,observed_universe_coverage,n,mae,rmse,median_absolute_error,r2
ridge_in_round_with_previous_round,evaluated_non_primary_in_round_diagnostic,non_primary_in_round_diagnostic,in_round_update,2025,5,"[1, 2, 3, 4]","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","['year', 'round', 'duration_years', 'is_pwd', 'years_since_ews', 'hist_mean_closing_rank', 'hist_std_closing_rank', 'hist_year_count', 'last_closing_rank', 'years_since_observed', 'institute_freq', 'program_freq', 'institute_type', 'institute', 'program', 'category', 'quota', 'gender', 'degree_type', 'prev_round_closing_rank', 'prev_round_number']",21,[],False,False,True,This fixed round-5 subset is forecast after target-season rounds 1-4 are observed; the primary benchmark forecasts all rounds before the season and therefore has a different target and information set.,Uses only the latest completed earlier round from the target season in addition to strictly prior-year features.,10968,11712,10467,501,1245,0.8936987705,10467,3154.684919,7129.337985,2169.348366,0.969910948
ridge_in_round_without_previous_round,evaluated_non_primary_in_round_diagnostic,non_primary_in_round_diagnostic,in_round_update,2025,5,"[1, 2, 3, 4]","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","['year', 'round', 'duration_years', 'is_pwd', 'years_since_ews', 'hist_mean_closing_rank', 'hist_std_closing_rank', 'hist_year_count', 'last_closing_rank', 'years_since_observed', 'institute_freq', 'program_freq', 'institute_type', 'institute', 'program', 'category', 'quota', 'gender', 'degree_type']",19,"['prev_round_closing_rank', 'prev_round_number']",False,False,True,This fixed round-5 subset is forecast after target-season rounds 1-4 are observed; the primary benchmark forecasts all rounds before the season and therefore has a different target and information set.,Comparator refit on the identical round-5 target subset after removing both completed-previous-round fields.,10968,11712,10467,501,1245,0.8936987705,10467,5637.729283,16171.51148,3541.186821,0.8451856109
