year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error,opening_rank,category_str,institute_type_str,institute_type,category,closing_rank,institute,program,quota,gender,std_dev,admission_probability,ci_lower_5,expected_cutoff_50,ci_upper_95,margin,margin_score,recommendation_score
2025,6,2,3,55991.0,55989,1.6595752977082157,1.6595752977082157,0.0029640036750695,42935,OPEN,NIT,NIT,Safe,55991,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,OS,Female-only,100.0,1.0,55819.63645895363,55984.24026156416,56155.69955725206,15989,0.2855739520262909,105.71147904052582
2025,6,2,3,54965.0,54963,1.6023393880823278,1.6023393880823278,0.0029151994689026,51952,OPEN,NIT,NIT,Safe,54965,National Institute of Technology Durgapur,Civil Engineering,HS,Female-only,100.0,1.0,54805.073160044594,54966.238581731566,55134.08601026329,14963,0.2722376871713698,105.4447537434274
2025,6,2,3,54243.0,54241,1.5602662360615795,1.5602662360615795,0.0028764379478671,44011,OPEN,NIT,NIT,Safe,54243,National Institute of Technology Durgapur,Civil Engineering,OS,Female-only,100.0,1.0,54078.92205562262,54246.83592213745,54424.88772617651,14241,0.262550469202264,105.25100938404528
2025,6,2,3,53663.0,53661,1.5956045667771832,1.5956045667771832,0.0029733793615287,49477,OPEN,NIT,NIT,Safe,53663,"Sardar Vallabhbhai National Institute of Technology, Surat",Civil Engineering,OS,Female-only,100.0,1.0,53500.54414768299,53658.15196657348,53823.23579532928,13661,0.25457967611486926,105.09159352229739
2025,6,2,3,53343.0,53342,1.4362568061696948,1.4362568061696948,0.0026924934971218,34243,OPEN,NIT,NIT,Safe,53343,Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,HS,Female-only,100.0,1.0,53167.508066474984,53342.099988902904,53513.03741015095,13342,0.25012185519853025,105.0024371039706
2025,6,2,3,51765.0,51764,1.4811350870804745,1.4811350870804745,0.0028612674337495,40634,OPEN,NIT,NIT,Safe,51765,"National Institute of Technology, Kurukshetra",Civil Engineering,OS,Female-only,100.0,1.0,51606.910064441625,51762.96272727607,51916.718605884125,11764,0.22726218993895372,104.54524379877907
2025,6,2,3,51638.0,51636,1.5533483806575532,1.5533483806575532,0.003008149774696,48752,OPEN,NIT,NIT,Safe,51638,National Institute of Technology Goa,Civil Engineering,OS,Female-only,100.0,1.0,51466.69774816313,51642.6372616833,51801.768523383216,11636,0.22534665737082654,104.50693314741653
2025,6,2,3,51548.0,51547,1.4513120835399604,1.4513120835399604,0.0028154575997904,40377,OPEN,NIT,NIT,Safe,51548,"Visvesvaraya National Institute of Technology, Nagpur",Civil Engineering,HS,Female-only,100.0,1.0,51399.149715447034,51550.98204206521,51710.870048033416,11547,0.22400915669195104,104.48018313383902
2025,6,2,3,50416.0,50415,1.4578218249807833,1.4578218249807833,0.0028915856572928,39941,OPEN,NIT,NIT,Safe,50416,"Visvesvaraya National Institute of Technology, Nagpur",Civil Engineering,OS,Female-only,100.0,1.0,50259.43441702113,50411.41910171411,50570.29604406503,10415,0.20658534166418724,104.13170683328374
2025,6,2,3,49720.0,49719,1.4515705718513343,1.4515705718513343,0.0029194902893228,42070,OPEN,NIT,NIT,Safe,49720,"National Institute of Technology, Kurukshetra",Civil Engineering,HS,Female-only,100.0,1.0,49546.99281950235,49717.89004396502,49890.598060355056,9719,0.1954785896739677,103.90957179347936
2025,6,2,3,49219.0,49218,1.3447967230749782,1.3447967230749782,0.002732271527408,37513,OPEN,NIT,NIT,Safe,49219,Malaviya National Institute of Technology Jaipur,Civil Engineering,OS,Female-only,100.0,1.0,49053.93134553431,49220.3073958276,49385.398912027056,9218,0.18728920313706368,103.74578406274128
2025,6,2,3,45561.0,45560,1.2455175208524452,1.2455175208524452,0.0027337361358452,37704,OPEN,NIT,NIT,Safe,45561,Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,OS,Female-only,100.0,1.0,45412.303820605426,45558.635726198874,45732.490389968254,5560,0.12203687445127305,102.44073748902547
2025,6,2,3,44379.0,44378,1.2807450947875625,1.2807450947875625,0.0028859259892912,41048,OPEN,NIT,NIT,Safe,44379,National Institute of Technology Calicut,Civil Engineering,OS,Female-only,100.0,1.0,44210.31591571292,44371.864458440104,44543.1951043983,4378,0.09865248546577132,101.97304970931543
2025,6,2,3,43525.0,43524,1.1882180004031395,1.1882180004031395,0.0027299666867389,41040,OPEN,NIT,NIT,Safe,43525,"National Institute of Technology, Rourkela",Civil Engineering,HS,Female-only,100.0,1.0,43363.29051639316,43524.816608795874,43697.950028046595,3524,0.08096682290230678,101.61933645804613
2025,6,2,3,41612.0,41611,0.9538170018495292,0.9538170018495292,0.0022921681290241,29021,OPEN,NIT,NIT,Safe,41612,National Institute of Technology Calicut,Civil Engineering,HS,Female-only,100.0,1.0,41444.862683697,41610.458579487546,41766.83817909894,1611,0.038715724207541276,100.77431448415082
2025,6,2,3,41388.0,41387,0.9884671173786046,0.9884671173786046,0.0023882939919266,27597,OPEN,NIT,NIT,Safe,41388,"National Institute of Technology Karnataka, Surathkal",Civil Engineering,HS,Female-only,100.0,1.0,41228.278864113905,41391.616197176525,41544.51566522514,1387,0.03351293884553121,100.67025877691063
2025,6,2,3,41075.0,41074,1.0427525687991874,1.0427525687991874,0.0025386550670704,28614,OPEN,NIT,NIT,Safe,41075,"National Institute of Technology, Tiruchirappalli",Civil Engineering,HS,Female-only,100.0,1.0,40901.89395759604,41070.69493942261,41242.709902285154,1074,0.026147928129717096,100.52295856259434
2025,6,2,3,40799.0,40798,1.0301312469964614,1.0301312469964614,0.0025248933723779,34049,OPEN,NIT,NIT,Safe,40799,Malaviya National Institute of Technology Jaipur,Civil Engineering,HS,Female-only,100.0,1.0,40630.38835515618,40799.28409233011,40969.55367861518,798,0.01955978234227168,100.39119564684543
2025,6,2,3,37899.0,37898,0.8909730679879431,0.8909730679879431,0.0023509144515368,19768,OPEN,NIT,NIT,Ambitious,37899,"National Institute of Technology, Warangal",Civil Engineering,HS,Female-only,100.0,0.0,37736.853766282606,37896.228603493844,38058.273620272725,-2102,-0.05546466832022798,-1.1092933664045597
2025,6,2,3,36822.0,36821,0.8719002811267274,0.8719002811267274,0.0023678786625569,19212,OPEN,NIT,NIT,Ambitious,36822,"National Institute of Technology, Warangal",Civil Engineering,OS,Female-only,100.0,0.0,36647.68398920796,36824.23904716445,36980.376081422444,-3179,-0.08633660139594253,-1.7267320279188505
2025,6,2,3,36568.0,36567,0.970109444897389,0.970109444897389,0.0026528917219902,30429,OPEN,NIT,NIT,Ambitious,36568,"National Institute of Technology, Rourkela",Civil Engineering,OS,Female-only,100.0,0.0,36410.87906243138,36574.16121403774,36740.59399272797,-3433,-0.0938824623294227,-1.877649246588454
2025,6,2,3,34014.0,34013,0.7609852687019156,0.7609852687019156,0.002237270737643,28488,OPEN,NIT,NIT,Ambitious,34014,"National Institute of Technology Karnataka, Surathkal",Civil Engineering,OS,Female-only,100.0,0.0,33849.07845423737,34010.16531160004,34184.04361385176,-5987,-0.17602093317261047,-3.5204186634522094
2025,6,2,3,30069.0,30068,0.7063636812417826,0.7063636812417826,0.0023491425762139,30069,OPEN,NIT,NIT,Ambitious,30069,National Institute of Technology Delhi,Civil Engineering,OS,Female-only,100.0,0.0,29898.75940176197,30066.79550688338,30221.22597578407,-9932,-0.33031794598909137,-6.606358919781828
2025,6,2,3,26836.0,26835,0.5052735165372724,0.5052735165372724,0.0018828197814028,20723,OPEN,NIT,NIT,Ambitious,26836,"National Institute of Technology, Tiruchirappalli",Civil Engineering,OS,Female-only,100.0,0.0,26666.848261935615,26834.86267792325,27002.31123592749,-13165,-0.49059064654369294,-9.81181293087386
