year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error
2025,1,0,0,10958.0,10956,2.064126831079193,2.064126831079193,0.018836711362285024
2025,2,0,0,11690.0,11591,99.36267857516214,99.36267857516214,0.8499801417892399
2025,3,0,0,13158.0,12667,491.189845820094,491.189845820094,3.733012964129001
2025,4,0,0,13283.0,13442,-158.510157458928,158.510157458928,1.193331005487676
2025,5,0,0,13458.0,13480,-22.184727874551754,22.184727874551754,0.16484416610604663
2025,6,0,0,15343.0,15227,115.75910096760526,115.75910096760526,0.7544750111947159
2025,1,0,0,23746.0,27513,-3766.9718875191647,3766.9718875191647,15.863606028464435
2025,2,0,0,30183.0,27446,2737.183922537424,2737.183922537424,9.068627779006142
2025,3,0,0,35694.0,32383,3310.6246295127894,3310.6246295127894,9.275017172389727
2025,4,0,0,37531.0,37197,333.53173527705803,333.53173527705803,0.8886833158643735
2025,5,0,0,38007.0,38194,-186.81685880773148,186.81685880773148,0.49153276714218824
2025,6,0,0,40209.0,40703,-493.5469515484583,493.5469515484583,1.2274539320760482
2025,1,1,0,24871.0,26096,-1224.6054932944899,1224.6054932944899,4.923828930459129
2025,2,1,0,25747.0,27097,-1350.2911130285793,1350.2911130285793,5.244459987682368
2025,3,1,0,25747.0,26675,-927.8255051017586,927.8255051017586,3.6036256849409973
2025,4,1,0,25747.0,26641,-894.0048698013888,894.0048698013888,3.4722681081344966
2025,5,1,0,25747.0,26633,-886.2864670236086,886.2864670236086,3.4422902358473166
2025,6,1,0,31327.0,32352,-1025.0163671864902,1025.0163671864902,3.2719901911657363
2025,1,1,0,23389.0,23484,-94.71439767089032,94.71439767089032,0.4049527456107158
2025,2,1,0,26857.0,25128,1728.8527670557814,1728.8527670557814,6.437251990377859
2025,3,1,0,28846.0,27836,1010.1211915800959,1010.1211915800959,3.5017721402624136
2025,4,1,0,29422.0,29451,-29.082997400444583,29.082997400444583,0.0988477921298504
2025,5,1,0,29422.0,29714,-292.21228205460284,292.21228205460284,0.9931761336911251
2025,6,1,0,31848.0,31022,826.3023881166228,826.3023881166228,2.59451892777136
2025,1,1,0,70635.0,81125,-10489.6523277417,10489.6523277417,14.850502339833934
2025,2,1,0,77452.0,81911,-4458.51970086158,4458.51970086158,5.756493958660306
2025,3,1,0,77452.0,83051,-5598.574578507105,5598.574578507105,7.228444169946684
2025,4,1,0,77452.0,82252,-4799.867567323832,4799.867567323832,6.197215781805289
2025,5,1,0,79678.0,84206,-4527.843726851846,4527.843726851846,5.682677435241656
2025,6,1,0,117238.0,127784,-10546.17819444438,10546.17819444438,8.995528919330233
2025,1,1,0,69612.0,67121,2490.568472222236,2490.568472222236,3.577786117655341
2025,2,1,0,85861.0,82277,3584.391285473772,3584.391285473772,4.174644233672764
2025,3,1,0,95341.0,93216,2125.3705868768884,2125.3705868768884,2.2292304327381594
2025,4,1,0,99739.0,102281,-2542.2482041910553,2542.2482041910553,2.5489008353713745
2025,5,1,0,107142.0,106589,553.1602546296199,553.1602546296199,0.5162870346172554
2025,6,1,0,127136.0,117233,9903.395562169317,9903.395562169317,7.789607634477502
2025,1,2,0,68243.0,71873,-3630.2758987781417,3630.2758987781417,5.319631169172137
2025,2,2,0,68243.0,69962,-1719.1931170922326,1719.1931170922326,2.519222655938679
2025,3,2,0,68243.0,69580,-1337.226937098967,1337.226937098967,1.9595078427076287
2025,4,2,0,68243.0,69525,-1282.4174974876514,1282.4174974876514,1.8791927340352146
2025,5,2,0,68243.0,69551,-1307.514680027336,1307.514680027336,1.915968934582794
2025,6,2,0,86651.0,88323,-1671.587728174607,1671.587728174607,1.9291037935795396
2025,1,2,0,66923.0,62606,4316.569179416285,4316.569179416285,6.450053314131591
2025,1,2,0,1032.0,1371,-339.0752768759023,339.0752768759023,32.85613148022309
2025,2,2,0,73662.0,72421,1241.1449441760196,1241.1449441760196,1.6849188783579316
2025,2,2,0,1032.0,1372,-340.25400703463265,340.25400703463265,32.970349518859756
2025,3,2,0,77136.0,74641,2494.9848853556323,2494.9848853556323,3.2345271797288326
2025,3,2,0,1032.0,1386,-354.455488516114,354.455488516114,34.34646206551492
2025,4,2,0,78837.0,76494,2342.532081122874,2342.532081122874,2.971361265805236
2025,4,2,0,1032.0,1386,-353.71747925685463,353.71747925685463,34.27494954039289
2025,5,2,0,80704.0,77218,3486.3634532828437,3486.3634532828437,4.31993885468235
2025,5,2,0,1032.0,1386,-354.05247925685467,354.05247925685467,34.30741078070297
2025,6,2,0,88476.0,77922,10554.307262806644,10554.307262806644,11.929005903077268
2025,6,2,0,1032.0,1388,-355.823593674844,355.823593674844,34.479030394849225
2025,1,2,0,129629.0,148627,-18998.255065235717,18998.255065235717,14.65586795025474
2025,2,2,0,129629.0,143041,-13411.720789742656,13411.720789742656,10.34623486237081
2025,3,2,0,129629.0,136409,-6779.832745009626,6779.832745009626,5.230182092749018
2025,4,2,0,129629.0,136482,-6853.083346861502,6853.083346861502,5.286689974358748
2025,5,2,0,129629.0,136039,-6410.045400432922,6410.045400432922,4.944916184212578
2025,6,2,0,129629.0,136686,-7056.536418951437,7056.536418951437,5.443640249443749
2025,1,2,0,141227.0,128896,12330.551220238121,12330.551220238121,8.731015471714418
2025,2,2,0,159214.0,168605,-9390.796102393011,9390.796102393011,5.898222582431828
2025,3,2,0,184210.0,176736,7474.371213023114,7474.371213023114,4.057527394290817
2025,4,2,0,204706.0,206797,-2090.5176969095774,2090.5176969095774,1.0212293224964473
2025,5,2,0,219741.0,225191,-5449.756227753649,5449.756227753649,2.480081654199102
2025,6,2,0,246536.0,239005,7531.250952080329,7531.250952080329,3.0548280786904667
2025,1,3,0,12119.0,12331,-211.56879580577515,211.56879580577515,1.7457611668105881
2025,2,3,0,13512.0,12652,859.64334593899,859.64334593899,6.362073312159488
2025,3,3,0,14075.0,13815,260.43925085925366,260.43925085925366,1.8503676792842176
